,shortName,sector,industry,country,market,2021-06-28 00:00:00,2021-06-29 00:00:00,2021-06-30 00:00:00,2021-07-01 00:00:00,2021-07-02 00:00:00,2021-07-06 00:00:00,2021-07-07 00:00:00,2021-07-08 00:00:00,2021-07-09 00:00:00,2021-07-12 00:00:00,2021-07-13 00:00:00,2021-07-14 00:00:00,2021-07-15 00:00:00,2021-07-16 00:00:00,2021-07-19 00:00:00,2021-07-20 00:00:00,2021-07-21 00:00:00,2021-07-22 00:00:00,2021-07-23 00:00:00,2021-07-26 00:00:00,2021-07-27 00:00:00,2021-07-28 00:00:00,2021-07-05 00:00:00
48,Payoneer Global Inc.,Technology,Software—Infrastructure,United States,us_market,10.600000381469727,10.5600004196167,10.369999885559082,10.039999961853027,9.920000076293945,9.890000343322754,9.899999618530273,9.859999656677246,10.420000076293945,10.3100004196167,9.779999732971191,9.609999656677246,9.710000038146973,9.479999542236328,9.180000305175781,9.329999923706055,9.800000190734863,10.260000228881836,10.180000305175781,9.9399995803833,9.579999923706055,9.244999885559082,
49,Zymergen Inc.,Basic Materials,Chemicals,United States,us_market,39.0,37.869998931884766,40.0099983215332,40.22999954223633,41.0,40.36000061035156,39.0,37.22999954223633,36.56999969482422,36.75,38.7400016784668,36.18000030517578,34.9900016784668,35.95000076293945,38.56999969482422,39.63999938964844,38.06999969482422,38.810001373291016,39.869998931884766,34.54999923706055,31.010000228881836,35.5,
50,Zhihu Inc.,Communication Services,Internet Content & Information,China,us_market,11.770000457763672,13.079999923706055,13.5600004196167,12.569999694824219,12.510000228881836,10.600000381469727,9.25,9.449999809265137,10.520000457763672,10.010000228881836,10.619999885559082,10.880000114440918,11.09000015258789,11.069999694824219,11.270000457763672,12.59000015258789,11.90999984741211,11.899999618530273,10.270000457763672,9.329999923706055,9.079999923706055,10.380200386047363,
51,Itau Unibanco Banco Holding SA,Financial Services,Banks—Regional,Brazil,us_market,6.156924724578857,6.066969871520996,6.006999969482422,5.849999904632568,5.920000076293945,5.570000171661377,5.599999904632568,5.559999942779541,5.550000190734863,5.690000057220459,5.710000038146973,5.820000171661377,5.730000019073486,5.639999866485596,5.449999809265137,5.550000190734863,5.639999866485596,5.550000190734863,5.519999980926514,5.690000057220459,5.739999771118164,5.880000114440918,
52,Churchill Capital Corp IV,Financial Services,Shell Companies,United States,us_market,27.0,26.31999969482422,28.81999969482422,27.719999313354492,27.020000457763672,26.3799991607666,25.520000457763672,24.959999084472656,25.549999237060547,26.850000381469727,25.90999984741211,23.790000915527344,22.959999084472656,22.790000915527344,22.200000762939453,24.280000686645508,23.43000030517578,22.899999618530273,24.25,,,,
53,MEITUAN,Consumer Cyclical,Internet Retail,China,us_market,42.70000076293945,42.0,41.099998474121094,40.790000915527344,39.25,37.16999816894531,36.599998474121094,34.20000076293945,36.04999923706055,36.71500015258789,37.54999923706055,37.13399887084961,37.25,37.0,35.46500015258789,35.5,35.189998626708984,35.68000030517578,34.380001068115234,29.3799991607666,26.0,29.545000076293945,
54,Futu Holdings Limited,Financial Services,Capital Markets,Hong Kong,us_market,178.0500030517578,179.5500030517578,179.08999633789062,161.08999633789062,162.1999969482422,147.11000061035156,145.27999877929688,138.58999633789062,139.75,137.4600067138672,135.11000061035156,130.41000366210938,134.8000030517578,133.39999389648438,133.85000610351562,137.9499969482422,145.47999572753906,134.67999267578125,124.62000274658203,115.44000244140625,98.73999786376953,113.19999694824219,
55,"Twitter, Inc.",Communication Services,Internet Content & Information,United States,us_market,68.29000091552734,69.0,68.80999755859375,68.11000061035156,69.19999694824219,70.20999908447266,68.76000213623047,66.83000183105469,68.97000122070312,69.86000061035156,69.5999984741211,70.2699966430664,68.06999969482422,66.41000366210938,66.0199966430664,67.94000244140625,69.54000091552734,69.56999969482422,71.69000244140625,68.69000244140625,68.33000183105469,70.98999786376953,
56,Sirius XM Holdings Inc.,Communication Services,Broadcasting,United States,us_market,6.510000228881836,6.550000190734863,6.539999961853027,6.570000171661377,6.630000114440918,6.539999961853027,6.570000171661377,6.460000038146973,6.559999942779541,6.519999980926514,6.449999809265137,6.5,6.440000057220459,6.389999866485596,6.340000152587891,6.53000020980835,6.550000190734863,6.480000019073486,6.429999828338623,6.380000114440918,6.710000038146973,6.554999828338623,
57,"Pfizer, Inc.",Healthcare,Drug Manufacturers—General,United States,us_market,39.119998931884766,39.099998474121094,39.15999984741211,39.560001373291016,39.72999954223633,39.290000915527344,39.349998474121094,39.25,39.61000061035156,39.7599983215332,39.650001525878906,39.95000076293945,40.09000015258789,40.349998474121094,40.150001525878906,41.04999923706055,41.02000045776367,41.470001220703125,41.68000030517578,41.810001373291016,42.099998474121094,43.36000061035156,
